"Ramo" "Pólizas Nuevas" "Pólizas Renovadas" "Cantidad de Asegurados" "Inventario Real" "Inventario Presupuesto" "Inventario Cumplimiento (%)" "Participación Primas Real (%)" "Participación Primas Presupuesto (%)" "Primas Cobradas Netas de Devolución Nueva" "Primas Cobradas Netas de Devolución Renovada" "Primas Cobradas Netas de Devolución Real" "fecha" "cuentas_esp" "centro"
"50" "RESPONSABILIDAD CIVIL DE VEHICULOS" 79 10 3053 31 35 134.822145011276 39.2249042866752 41.3851913297549 5920428200.62488 14383711118.7167 21257061208.5983 2019-02-19 "Cuenta 3" "Centro 5"
"51" "RESPONSABILIDAD CIVIL DE VEHICULOS" 70 68 2180 105 58 172.612622007728 69.3492343183607 73.5128558008 29786643385.8871 20773561054.375 42518200748.6001 2019-02-20 "Cuenta 3" "Centro 2"
"52" "AUTOMOVIL CASCO FLOTA" 88 54 3957 144 130 118.964207964018 96.9063798198476 73.4689349774271 33915907004.8481 36071615747.6418 12409548007.4175 2019-02-21 "Cuenta 1" "Centro 5"
"53" "RESPONSABILIDAD CIVIL DE VEHICULOS" 23 74 174 77 41 8.43061073683202 31.3718063523993 26.7831375822425 6763124268.03634 39643079135.5669 24608506134.2455 2019-02-22 "Cuenta 4" "Centro 5"
"54" "RESPONSABILIDAD CIVIL DE VEHICULOS" 87 61 889 139 40 0.5061992444098 23.0442461324856 99.0630066022277 31387108867.0567 17358924366.9994 22422997560.3521 2019-02-23 "Cuenta 4" "Centro 5"
"55" "RESPONSABILIDAD CIVIL DE VEHICULOS" 55 67 1859 132 172 174.978588195518 80.3080537123606 44.5648509077728 2595517737.79094 16295389970.7645 39144945377.484 2019-02-24 "Cuenta 1" "Centro 4"
"56" "RESPONSABILIDAD CIVIL DE VEHICULOS" 55 50 2581 165 128 189.478318719193 25.6492250366136 74.716688785702 22039945365.3954 14806969382.3345 45644546567.928 2019-02-25 "Cuenta 3" "Centro 1"
"57" "AUTOMOVIL CASCO FLOTA" 143 99 1207 192 156 176.593545079231 28.4023454878479 5.00300775747746 9911935054.6971 21286385192.0702 20117613289.0396 2019-02-26 "Cuenta 3" "Centro 3"
"58" "AUTOMOVIL" 83 72 3570 243 72 11.8305401410908 40.4566383454949 9.50604896061122 20375330827.6646 47048382333.0142 4415167286.06075 2019-02-27 "Cuenta 5" "Centro 1"
"59" "AUTOMOVIL CASCO FLOTA" 71 62 450 95 92 58.3282412961125 38.538776198402 13.8585949782282 1638136513.06555 7673514669.2954 20631237421.1848 2019-02-28 "Cuenta 1" "Centro 4"
"60" "AUTOMOVIL CASCO FLOTA" 119 22 1980 35 54 114.949554903433 38.1759556010365 7.62840227689594 18359863816.2948 4970493644.9416 6295228051.0217 2019-03-01 "Cuenta 1" "Centro 5"
"61" "RESPONSABILIDAD CIVIL DE VEHICULOS" 91 39 2951 255 149 70.8537629339844 24.5054673869163 11.9241116568446 9225240617.52483 30627779907.0813 39908972184.6394 2019-03-02 "Cuenta 4" "Centro 4"
"62" "RESPONSABILIDAD CIVIL DE VEHICULOS" 124 95 1366 110 86 63.8422714546323 22.8186146821827 0.0752856489270926 12691762484.6101 16471218084.9165 46385722106.7883 2019-03-03 "Cuenta 4" "Centro 3"
"63" "AUTOMOVIL CASCO FLOTA" 199 56 1852 258 76 127.206791192293 98.3787716366351 10.2888477267697 30308489559.6839 5661871097.98193 10640152555.4247 2019-03-04 "Cuenta 2" "Centro 4"
"64" "RESPONSABILIDAD CIVIL DE VEHICULOS" 59 11 2299 171 52 34.9331127479672 33.1495990278199 4.75458290893584 13470397354.1036 44524173066.02 11110270232.8935 2019-03-05 "Cuenta 2" "Centro 1"
"65" "AUTOMOVIL" 197 86 3004 223 127 144.467999693006 5.9928453527391 8.63178719300777 27415505622.0479 43117026030.086 19658035109.7509 2019-03-06 "Cuenta 3" "Centro 5"
"66" "RESPONSABILIDAD CIVIL DE VEHICULOS" 198 26 1024 181 117 118.32502130419 0.219106511212885 56.1330809257925 8275464107.28246 1391601492.65081 16896561661.2695 2019-03-07 "Cuenta 2" "Centro 2"
"67" "RESPONSABILIDAD CIVIL DE VEHICULOS" 53 20 3748 240 142 163.28204437159 69.2604512907565 77.1227580495179 16052318061.702 2901808824.39017 35895241168.3276 2019-03-08 "Cuenta 5" "Centro 3"
"68" "AUTOMOVIL CASCO FLOTA" 198 87 523 243 59 4.92843659594655 37.8097002394497 26.7648309934884 8894674445.0368 17450817569.6246 28809489193.3724 2019-03-09 "Cuenta 2" "Centro 1"
"69" "AUTOMOVIL" 132 86 1194 102 194 38.0510010756552 32.8315030084923 35.4690651176497 6186861067.54467 862812052.946538 26281176216.4347 2019-03-10 "Cuenta 2" "Centro 5"
"70" "AUTOMOVIL CASCO FLOTA" 132 100 2870 152 13 138.894820678979 82.2659832425416 23.2668957207352 9994466020.72567 36829032911.9191 42570168816.0189 2019-03-11 "Cuenta 5" "Centro 2"
"71" "AUTOMOVIL" 40 45 653 201 42 155.999037530273 5.85477594286203 83.6063803639263 43023678322.7883 28377365518.827 1211809762.75355 2019-03-12 "Cuenta 4" "Centro 2"
"72" "AUTOMOVIL" 184 70 3320 134 164 160.567956836894 63.7651439057663 20.9394422592595 43265264423.0984 27090241969.5631 8834349806.42051 2019-03-13 "Cuenta 5" "Centro 4"
"73" "AUTOMOVIL" 113 91 1953 259 182 74.3003187701106 14.0163352712989 44.2949942313135 30596929031.8899 11206806194.9685 18248184805.2703 2019-03-14 "Cuenta 2" "Centro 4"
"74" "AUTOMOVIL" 170 43 1002 13 30 83.1721040420234 39.4626672845334 15.3167466400191 36758112523.2391 28364451520.6106 6378461432.17757 2019-03-15 "Cuenta 2" "Centro 4"
"75" "AUTOMOVIL" 126 37 3427 133 94 99.1172816604376 29.6886882046238 90.0138064986095 17190160136.6699 27993101323.9548 29742363048.7174 2019-03-16 "Cuenta 4" "Centro 5"
"76" "AUTOMOVIL" 49 98 1551 15 184 164.487869851291 65.4509101063013 50.7252792594954 27468490437.6045 3362329187.80297 19914568855.8929 2019-03-17 "Cuenta 2" "Centro 4"
"77" "RESPONSABILIDAD CIVIL DE VEHICULOS" 59 11 1399 35 58 87.0743746869266 59.1868644114584 3.99897794704884 13725607306.6965 44460550206.7134 38358292984.7762 2019-03-18 "Cuenta 5" "Centro 2"
"78" "RESPONSABILIDAD CIVIL DE VEHICULOS" 183 23 2046 281 127 53.9375051856041 42.9830499691889 41.1778122186661 29743180680.0887 10797347454.3542 1848832878.74982 2019-03-19 "Cuenta 2" "Centro 5"
"79" "RESPONSABILIDAD CIVIL DE VEHICULOS" 136 14 2634 128 50 163.375917449594 38.4581543039531 34.7899637650698 5413138831.49996 4831236565.95126 26812260225.4152 2019-03-20 "Cuenta 1" "Centro 3"
"80" "AUTOMOVIL CASCO FLOTA" 111 86 155 269 101 162.098034331575 2.68990502227098 27.2337624337524 39846553269.3081 21227079024.5384 29308280721.3068 2019-03-21 "Cuenta 2" "Centro 5"
"81" "RESPONSABILIDAD CIVIL DE VEHICULOS" 143 99 3533 217 29 57.969867810607 34.5898301107809 4.98233286198229 4894955782.21977 2318215556.44274 16174945107.1955 2019-03-22 "Cuenta 5" "Centro 4"
"82" "AUTOMOVIL CASCO FLOTA" 106 78 670 122 101 170.472619216889 28.5453361924738 96.8339860904962 41006972442.8467 20367763587.2737 19846733368.4675 2019-03-23 "Cuenta 1" "Centro 4"
"83" "AUTOMOVIL CASCO FLOTA" 84 33 1200 183 84 140.922797797248 49.1644982248545 99.9531341018155 20775631337.8923 17705852049.4029 11315279942.9372 2019-03-24 "Cuenta 1" "Centro 2"
"84" "RESPONSABILIDAD CIVIL DE VEHICULOS" 187 61 3391 232 196 138.668298348784 81.0295938747004 81.8264588015154 30866849666.927 4363215190.82412 27490622550.2491 2019-03-25 "Cuenta 1" "Centro 4"
"85" "AUTOMOVIL" 4 75 396 31 29 22.536042239517 92.6760068396106 94.9600121704862 38136905827.5595 49358484649.5651 6068915268.40627 2019-03-26 "Cuenta 2" "Centro 2"
"86" "RESPONSABILIDAD CIVIL DE VEHICULOS" 172 3 486 245 39 133.37876633741 69.8198660044 1.39845756348222 25695422664.2847 5752047861.4606 25441653537.564 2019-03-27 "Cuenta 4" "Centro 4"
"87" "RESPONSABILIDAD CIVIL DE VEHICULOS" 130 31 3955 123 41 102.563489880413 23.7744343467057 26.443189335987 49742105428.5951 4632187157.40368 32639525795.8211 2019-03-28 "Cuenta 3" "Centro 5"
"88" "AUTOMOVIL CASCO FLOTA" 95 92 1064 194 197 184.516815748066 64.7162281442434 39.5309157669544 4702431324.40373 23620342009.2352 4946600820.40355 2019-03-29 "Cuenta 2" "Centro 5"
"89" "AUTOMOVIL" 51 2 1553 82 67 1.33619396947324 55.8222146006301 71.120954817161 39371714286.9718 37402306869.626 47345765563.6594 2019-03-30 "Cuenta 3" "Centro 1"
"90" "AUTOMOVIL CASCO FLOTA" 80 62 2042 166 29 146.541717415676 83.3934784866869 0.196021399460733 46984611754.3057 45808283484.0752 45991553738.7133 2019-03-31 "Cuenta 3" "Centro 3"
"91" "AUTOMOVIL CASCO FLOTA" 19 81 891 51 52 79.252753732726 1.53245830442756 85.2444136282429 4099163447.97239 26336295343.9355 14457145321.6486 2019-04-01 "Cuenta 4" "Centro 5"
"92" "AUTOMOVIL" 73 100 3240 179 179 113.520762138069 56.6748768091202 90.9533329075202 48485670879.0176 857419427.484274 20707756176.1253 2019-04-02 "Cuenta 3" "Centro 1"
"93" "RESPONSABILIDAD CIVIL DE VEHICULOS" 106 78 2085 51 33 34.6403311938047 72.8030435740948 5.53233381360769 13959229004.1037 1201589370.61206 19708606530.9122 2019-04-03 "Cuenta 1" "Centro 3"
"94" "RESPONSABILIDAD CIVIL DE VEHICULOS" 38 47 871 88 194 16.2715275771916 42.6595241995528 96.2291310308501 27040271891.7467 27186532353.5167 44423825142.4395 2019-04-04 "Cuenta 1" "Centro 5"
"95" "RESPONSABILIDAD CIVIL DE VEHICULOS" 69 40 1935 108 22 12.6889199018478 26.1042201658711 79.426532657817 48186498589.348 18703074706.7183 25789238838.4789 2019-04-05 "Cuenta 2" "Centro 3"
"96" "AUTOMOVIL" 88 32 1193 47 84 113.250588765368 46.8675565673038 10.2261026855558 308486877.474934 29058011260.3493 14839104330.1672 2019-04-06 "Cuenta 2" "Centro 5"
"97" "AUTOMOVIL CASCO FLOTA" 19 87 3924 147 31 81.7517906893045 37.5200872542337 5.89732753578573 23595582251.437 20911964937.1132 17713325761.7243 2019-04-07 "Cuenta 2" "Centro 5"
"98" "AUTOMOVIL" 92 14 2209 19 90 194.668225990608 26.3741354225203 47.9485307121649 8067320438.56755 34341841656.7147 23952506657.2241 2019-04-08 "Cuenta 4" "Centro 1"
"99" "RESPONSABILIDAD CIVIL DE VEHICULOS" 24 19 378 190 185 15.1213638018817 79.2771864682436 32.7676558401436 27123611059.5055 5965967522.93408 48214793403.1673 2019-04-09 "Cuenta 3" "Centro 2"
"100" "AUTOMOVIL CASCO FLOTA" 149 97 3425 36 176 94.6532409172505 81.1490428168327 23.3306457055733 21012082824.0179 21228103898.4656 32869406184.1816 2019-04-10 "Cuenta 1" "Centro 5"
"101" "AUTOMOVIL CASCO FLOTA" 8 6 2492 244 58 56.2772122677416 62.2409341856837 29.4133579125628 35120335232.9321 1378459704.5742 39802454784.5125 2019-04-11 "Cuenta 5" "Centro 3"
"102" "AUTOMOVIL" 13 83 499 28 71 32.2414472233504 86.7116840323433 66.4122365182266 11776397912.7631 3813701367.47137 8276432647.83546 2019-04-12 "Cuenta 3" "Centro 1"
"103" "AUTOMOVIL" 116 98 3381 290 150 163.391510490328 97.0670619048178 38.2027318701148 19189244089.6481 29404527635.7792 49762265163.0081 2019-04-13 "Cuenta 1" "Centro 1"
"104" "RESPONSABILIDAD CIVIL DE VEHICULOS" 87 99 137 1 83 85.921936808154 81.8606148706749 28.8989741588011 11877925286.5352 12887196161.3186 21981726808.0078 2019-04-14 "Cuenta 1" "Centro 1"
"105" "AUTOMOVIL CASCO FLOTA" 7 76 2526 290 145 164.94528753683 64.6575491642579 81.4773753052577 48018482956.104 18631677981.4661 38795900775.5853 2019-04-15 "Cuenta 2" "Centro 5"
"106" "AUTOMOVIL CASCO FLOTA" 180 74 3050 218 118 10.6176489964128 88.8865650398657 58.3874473115429 20597996842.1161 47986105165.91 32419423339.8885 2019-04-16 "Cuenta 4" "Centro 5"
"107" "AUTOMOVIL" 33 77 3309 107 56 136.95376929827 82.190936524421 3.22838535066694 26085457613.226 7335869292.7286 43244264973.3275 2019-04-17 "Cuenta 5" "Centro 2"
"108" "RESPONSABILIDAD CIVIL DE VEHICULOS" 75 84 12 21 8 152.339648362249 32.9155256273225 25.0966732855886 1125202083.49451 48502886516.5077 22368209552.9512 2019-04-18 "Cuenta 1" "Centro 1"
"109" "AUTOMOVIL CASCO FLOTA" 91 82 704 117 71 129.043503291905 6.80936106946319 83.5708886384964 36867733742.1104 45173312583.9382 5869494460.05747 2019-04-19 "Cuenta 2" "Centro 4"
"110" "AUTOMOVIL" 87 6 2607 297 42 167.354777269065 47.8750097099692 53.4436852205545 22223481175.0241 23769686382.7296 1059620908.92717 2019-04-20 "Cuenta 3" "Centro 1"
"111" "AUTOMOVIL" 94 3 1715 122 188 139.026106987149 83.8720203144476 10.298614948988 26950564759.3178 18211502116.1735 5475253949.40749 2019-04-21 "Cuenta 1" "Centro 4"
"112" "AUTOMOVIL" 34 30 1203 88 46 135.778328543529 75.8439468918368 12.0897692395374 34128642547.8756 3993674390.94931 5046998930.62934 2019-04-22 "Cuenta 3" "Centro 3"
"113" "AUTOMOVIL" 23 31 729 110 196 62.7143786754459 77.5281639536843 54.1976064443588 35379159124.5681 355624046.642333 48106818052.4744 2019-04-23 "Cuenta 5" "Centro 3"
"114" "AUTOMOVIL CASCO FLOTA" 57 19 1874 115 152 86.036635003984 77.5846282253042 34.6627676393837 30288609850.686 9939518582.5415 14612575329.3745 2019-04-24 "Cuenta 5" "Centro 4"
"115" "AUTOMOVIL" 123 23 59 62 17 81.6958282608539 21.8343673739582 94.3408354418352 13484127470.2922 49744081683.4569 14169183792.5464 2019-04-25 "Cuenta 2" "Centro 4"
"116" "AUTOMOVIL CASCO FLOTA" 146 12 399 42 84 185.285482276231 0.928984675556421 63.692976674065 34559635934.4199 2668705163.52355 15382959018.4614 2019-04-26 "Cuenta 5" "Centro 1"
"117" "AUTOMOVIL" 74 21 1377 107 124 116.397801274434 3.86323221027851 36.877449718304 5651954759.37799 46234160021.4131 49452842131.7227 2019-04-27 "Cuenta 2" "Centro 3"
"118" "RESPONSABILIDAD CIVIL DE VEHICULOS" 155 54 2155 43 149 64.450447820127 12.9832197446376 27.3373615927994 13429109810.3859 4927131102.88605 19282634754.1995 2019-04-28 "Cuenta 4" "Centro 1"
"119" "AUTOMOVIL" 36 29 3089 105 53 156.505602784455 15.7291419338435 41.4787120651454 10337410226.9299 16158273816.1087 26744720211.7182 2019-04-29 "Cuenta 5" "Centro 2"
"120" "AUTOMOVIL CASCO FLOTA" 158 19 2842 126 89 199.996151542291 96.1847873870283 84.8497810773551 9895964257.88477 40511315281.0372 38560849323.4031 2019-04-30 "Cuenta 3" "Centro 4"
"121" "AUTOMOVIL" 2 95 1746 214 161 195.963612990454 31.588891451247 26.8927681492642 29588786151.7258 48073820245.9179 49251521588.3031 2019-05-01 "Cuenta 2" "Centro 5"
"122" "AUTOMOVIL" 110 41 258 108 13 194.110961537808 99.7360311215743 84.503217600286 45821510127.2799 18013555812.6494 14261341968.0856 2019-05-02 "Cuenta 5" "Centro 4"
"123" "AUTOMOVIL" 126 30 1849 23 120 159.17088855058 52.4825976928696 10.7472847914323 20090713503.3049 47284868790.3024 24705134355.4631 2019-05-03 "Cuenta 5" "Centro 1"
"124" "RESPONSABILIDAD CIVIL DE VEHICULOS" 15 48 303 158 14 51.6028844751418 85.6692723697051 14.5552199333906 18142701953.1839 5997087224.38663 1064679340.92507 2019-05-04 "Cuenta 1" "Centro 2"
"125" "AUTOMOVIL CASCO FLOTA" 189 38 2287 287 25 185.473615955561 54.3990049744025 5.48251343425363 43743766786.0649 14937590376.9396 16537135117.6873 2019-05-05 "Cuenta 1" "Centro 4"
"126" "AUTOMOVIL CASCO FLOTA" 152 63 3211 158 89 76.1665693018585 65.8460157224908 8.12268583104014 22057789249.8113 36570089787.7105 38118017185.4794 2019-05-06 "Cuenta 5" "Centro 4"
"127" "AUTOMOVIL" 147 48 3782 44 48 192.338799173012 26.0093128774315 61.5963958203793 16897413250.9902 42528338811.826 42557478754.3155 2019-05-07 "Cuenta 4" "Centro 3"
"128" "AUTOMOVIL CASCO FLOTA" 175 5 1423 76 136 40.4795697424561 11.0329389572144 7.261953339912 49191963474.7319 38992040010.6348 34333066013.6417 2019-05-08 "Cuenta 5" "Centro 2"
