"Asesor" "Ramo" "Número de Póliza" "Fecha" "Contrato"
"131" "Asesor 5" "Salud" 9 2019-05-11 7
"132" "Asesor 5" "Salud" 2 2019-05-12 2
"133" "Asesor 3" "Personas" 5 2019-05-13 8
"134" "Asesor 1" "Personas" 10 2019-05-14 4
"135" "Asesor 5" "Fianzas" 7 2019-05-15 6
"136" "Asesor 1" "Fianzas" 5 2019-05-16 10
"137" "Asesor 4" "Patrimoniales" 3 2019-05-17 2
"138" "Asesor 5" "Salud" 1 2019-05-18 9
"139" "Asesor 5" "Auto" 7 2019-05-19 9
"140" "Asesor 5" "Patrimoniales" 5 2019-05-20 7
"141" "Asesor 1" "Patrimoniales" 4 2019-05-21 9
"142" "Asesor 1" "Personas" 3 2019-05-22 5
"143" "Asesor 1" "Auto" 8 2019-05-23 2
"144" "Asesor 5" "Patrimoniales" 5 2019-05-24 9
"145" "Asesor 2" "Auto" 10 2019-05-25 9
"146" "Asesor 2" "Personas" 4 2019-05-26 3
"147" "Asesor 4" "Salud" 2 2019-05-27 4
"148" "Asesor 4" "Patrimoniales" 6 2019-05-28 10
"149" "Asesor 2" "Patrimoniales" 3 2019-05-29 3
"150" "Asesor 4" "Auto" 7 2019-05-30 1
"151" "Asesor 5" "Salud" 8 2019-05-31 5
"152" "Asesor 1" "Personas" 1 2019-06-01 2
"153" "Asesor 4" "Fianzas" 7 2019-06-02 8
"154" "Asesor 1" "Patrimoniales" 4 2019-06-03 8
"155" "Asesor 4" "Auto" 4 2019-06-04 4
"156" "Asesor 5" "Auto" 5 2019-06-05 2
"157" "Asesor 3" "Personas" 1 2019-06-06 7
"158" "Asesor 3" "Auto" 9 2019-06-07 3
"159" "Asesor 3" "Auto" 1 2019-06-08 9
"160" "Asesor 5" "Salud" 9 2019-06-09 8
"161" "Asesor 1" "Auto" 2 2019-06-10 3
"162" "Asesor 4" "Auto" 8 2019-06-11 1
"163" "Asesor 4" "Personas" 7 2019-06-12 4
"164" "Asesor 2" "Personas" 7 2019-06-13 6
"165" "Asesor 5" "Patrimoniales" 8 2019-06-14 10
"166" "Asesor 1" "Fianzas" 1 2019-06-15 1
"167" "Asesor 5" "Personas" 9 2019-06-16 3
"168" "Asesor 2" "Fianzas" 10 2019-06-17 2
"169" "Asesor 4" "Personas" 9 2019-06-18 8
"170" "Asesor 2" "Salud" 7 2019-06-19 6
"171" "Asesor 2" "Personas" 7 2019-06-20 9
"172" "Asesor 5" "Patrimoniales" 3 2019-06-21 1
"173" "Asesor 4" "Patrimoniales" 8 2019-06-22 7
"174" "Asesor 3" "Personas" 4 2019-06-23 9
"175" "Asesor 4" "Patrimoniales" 3 2019-06-24 1
"176" "Asesor 3" "Patrimoniales" 1 2019-06-25 6
"177" "Asesor 5" "Patrimoniales" 1 2019-06-26 10
"178" "Asesor 4" "Auto" 6 2019-06-27 7
"179" "Asesor 4" "Patrimoniales" 2 2019-06-28 6
"180" "Asesor 5" "Salud" 10 2019-06-29 6
"181" "Asesor 1" "Personas" 8 2019-06-30 10
"182" "Asesor 5" "Fianzas" 9 2019-07-01 7
"183" "Asesor 2" "Patrimoniales" 4 2019-07-02 2
"184" "Asesor 4" "Salud" 10 2019-07-03 5
"185" "Asesor 2" "Auto" 5 2019-07-04 7
"186" "Asesor 3" "Fianzas" 10 2019-07-05 4
"187" "Asesor 2" "Personas" 4 2019-07-06 7
"188" "Asesor 2" "Auto" 9 2019-07-07 7
"189" "Asesor 1" "Salud" 10 2019-07-08 9
"190" "Asesor 1" "Patrimoniales" 8 2019-07-09 8
"191" "Asesor 2" "Patrimoniales" 7 2019-07-10 6
"192" "Asesor 5" "Patrimoniales" 4 2019-07-11 6
"193" "Asesor 2" "Fianzas" 1 2019-07-12 7
"194" "Asesor 5" "Auto" 1 2019-07-13 10
"195" "Asesor 4" "Auto" 6 2019-07-14 9
"196" "Asesor 2" "Patrimoniales" 5 2019-07-15 3
"197" "Asesor 1" "Patrimoniales" 2 2019-07-16 2
"198" "Asesor 2" "Fianzas" 4 2019-07-17 6
"199" "Asesor 2" "Personas" 2 2019-07-18 7
"200" "Asesor 5" "Auto" 5 2019-07-19 8
"201" "Asesor 3" "Auto" 7 2019-07-20 8
"202" "Asesor 4" "Fianzas" 4 2019-07-21 4
"203" "Asesor 5" "Auto" 5 2019-07-22 10
"204" "Asesor 3" "Fianzas" 6 2019-07-23 8
"205" "Asesor 5" "Auto" 4 2019-07-24 10
"206" "Asesor 4" "Fianzas" 6 2019-07-25 3
"207" "Asesor 3" "Salud" 7 2019-07-26 4
"208" "Asesor 5" "Fianzas" 3 2019-07-27 10
"209" "Asesor 1" "Salud" 6 2019-07-28 3
"210" "Asesor 4" "Salud" 7 2019-07-29 4
"211" "Asesor 3" "Fianzas" 2 2019-07-30 5
"212" "Asesor 4" "Personas" 10 2019-07-31 3
"213" "Asesor 2" "Patrimoniales" 2 2019-08-01 3
"214" "Asesor 1" "Patrimoniales" 9 2019-08-02 3
"215" "Asesor 5" "Personas" 1 2019-08-03 9
"216" "Asesor 4" "Fianzas" 6 2019-08-04 6
"217" "Asesor 3" "Salud" 9 2019-08-05 1
"218" "Asesor 4" "Salud" 9 2019-08-06 8
"219" "Asesor 5" "Salud" 7 2019-08-07 4
"220" "Asesor 3" "Personas" 6 2019-08-08 10
"221" "Asesor 2" "Personas" 7 2019-08-09 1
"222" "Asesor 2" "Patrimoniales" 9 2019-08-10 6
"223" "Asesor 4" "Patrimoniales" 7 2019-08-11 6
"224" "Asesor 2" "Patrimoniales" 3 2019-08-12 5
"225" "Asesor 1" "Salud" 8 2019-08-13 7
"226" "Asesor 3" "Fianzas" 7 2019-08-14 9
"227" "Asesor 3" "Salud" 6 2019-08-15 4
"228" "Asesor 5" "Salud" 1 2019-08-16 9
"229" "Asesor 3" "Auto" 3 2019-08-17 9
"230" "Asesor 4" "Personas" 4 2019-08-18 7
"231" "Asesor 4" "Personas" 5 2019-08-19 10
"232" "Asesor 2" "Salud" 10 2019-08-20 6
"233" "Asesor 2" "Salud" 4 2019-08-21 2
"234" "Asesor 4" "Patrimoniales" 4 2019-08-22 3
"235" "Asesor 4" "Salud" 5 2019-08-23 8
"236" "Asesor 3" "Personas" 8 2019-08-24 3
"237" "Asesor 2" "Personas" 7 2019-08-25 2
"238" "Asesor 4" "Salud" 9 2019-08-26 5
"239" "Asesor 5" "Fianzas" 6 2019-08-27 7
"240" "Asesor 3" "Salud" 7 2019-08-28 3
"241" "Asesor 1" "Personas" 3 2019-08-29 7
"242" "Asesor 5" "Fianzas" 2 2019-08-30 2
"243" "Asesor 4" "Personas" 8 2019-08-31 5
"244" "Asesor 3" "Personas" 5 2019-09-01 4
"245" "Asesor 4" "Auto" 7 2019-09-02 3
"246" "Asesor 5" "Personas" 7 2019-09-03 8
"247" "Asesor 3" "Auto" 2 2019-09-04 9
"248" "Asesor 5" "Personas" 9 2019-09-05 9
"249" "Asesor 2" "Auto" 7 2019-09-06 9
"250" "Asesor 1" "Fianzas" 2 2019-09-07 6
"251" "Asesor 1" "Patrimoniales" 4 2019-09-08 10
"252" "Asesor 1" "Fianzas" 4 2019-09-09 4
"253" "Asesor 1" "Auto" 2 2019-09-10 10
"254" "Asesor 2" "Patrimoniales" 7 2019-09-11 8
"255" "Asesor 3" "Personas" 5 2019-09-12 10
"256" "Asesor 5" "Fianzas" 6 2019-09-13 2
"257" "Asesor 5" "Auto" 1 2019-09-14 9
"258" "Asesor 4" "Fianzas" 10 2019-09-15 3
"259" "Asesor 2" "Personas" 6 2019-09-16 7
"260" "Asesor 5" "Salud" 2 2019-09-17 10
"261" "Asesor 4" "Fianzas" 6 2019-09-18 10
"262" "Asesor 5" "Salud" 9 2019-09-19 7
"263" "Asesor 4" "Fianzas" 9 2019-09-20 9
"264" "Asesor 1" "Auto" 4 2019-09-21 10
"265" "Asesor 2" "Salud" 10 2019-09-22 6
"266" "Asesor 1" "Personas" 6 2019-09-23 4
"267" "Asesor 1" "Auto" 8 2019-09-24 7
"268" "Asesor 3" "Personas" 7 2019-09-25 10
"269" "Asesor 3" "Fianzas" 6 2019-09-26 6
"270" "Asesor 2" "Patrimoniales" 1 2019-09-27 8
"271" "Asesor 2" "Personas" 7 2019-09-28 10
"272" "Asesor 4" "Salud" 2 2019-09-29 6
"273" "Asesor 1" "Salud" 3 2019-09-30 6
"274" "Asesor 2" "Fianzas" 1 2019-10-01 8
"275" "Asesor 3" "Salud" 4 2019-10-02 2
"276" "Asesor 3" "Auto" 2 2019-10-03 1
"277" "Asesor 4" "Salud" 10 2019-10-04 7
"278" "Asesor 1" "Salud" 2 2019-10-05 6
"279" "Asesor 5" "Auto" 10 2019-10-06 7
"280" "Asesor 2" "Fianzas" 9 2019-10-07 10
"281" "Asesor 2" "Salud" 10 2019-10-08 3
"282" "Asesor 4" "Patrimoniales" 5 2019-10-09 7
"283" "Asesor 4" "Auto" 6 2019-10-10 2
"284" "Asesor 3" "Salud" 7 2019-10-11 3
"285" "Asesor 4" "Personas" 9 2019-10-12 2
"286" "Asesor 5" "Fianzas" 1 2019-10-13 8
"287" "Asesor 5" "Auto" 4 2019-10-14 8
"288" "Asesor 2" "Personas" 2 2019-10-15 6
"289" "Asesor 5" "Fianzas" 10 2019-10-16 8
"290" "Asesor 5" "Fianzas" 9 2019-10-17 3
"291" "Asesor 5" "Auto" 7 2019-10-18 2
"292" "Asesor 2" "Salud" 9 2019-10-19 3
"293" "Asesor 4" "Auto" 10 2019-10-20 6
"294" "Asesor 5" "Salud" 7 2019-10-21 5
"295" "Asesor 1" "Salud" 4 2019-10-22 4
"296" "Asesor 3" "Fianzas" 1 2019-10-23 5
"297" "Asesor 3" "Personas" 9 2019-10-24 9
"298" "Asesor 5" "Personas" 7 2019-10-25 4
"299" "Asesor 3" "Personas" 6 2019-10-26 5
"300" "Asesor 2" "Salud" 3 2019-10-27 3
"301" "Asesor 1" "Salud" 2 2019-10-28 2
"302" "Asesor 4" "Salud" 7 2019-10-29 3
"303" "Asesor 3" "Salud" 2 2019-10-30 9
"304" "Asesor 5" "Auto" 4 2019-10-31 4
"305" "Asesor 1" "Fianzas" 1 2019-11-01 9
"306" "Asesor 1" "Patrimoniales" 2 2019-11-02 6
"307" "Asesor 1" "Auto" 5 2019-11-03 9
"308" "Asesor 3" "Salud" 1 2019-11-04 9
"309" "Asesor 1" "Patrimoniales" 1 2019-11-05 1
"310" "Asesor 3" "Patrimoniales" 6 2019-11-06 1
"311" "Asesor 5" "Fianzas" 4 2019-11-07 3
"312" "Asesor 4" "Fianzas" 2 2019-11-08 5
"313" "Asesor 5" "Fianzas" 6 2019-11-09 10
"314" "Asesor 2" "Personas" 5 2019-11-10 2
"315" "Asesor 5" "Salud" 7 2019-11-11 3
"316" "Asesor 5" "Auto" 7 2019-11-12 3
"317" "Asesor 1" "Personas" 3 2019-11-13 10
"318" "Asesor 3" "Fianzas" 4 2019-11-14 3
"319" "Asesor 4" "Fianzas" 5 2019-11-15 1
"320" "Asesor 2" "Fianzas" 2 2019-11-16 6
"321" "Asesor 5" "Personas" 10 2019-11-17 4
"322" "Asesor 1" "Personas" 10 2019-11-18 5
"323" "Asesor 2" "Fianzas" 3 2019-11-19 2
"324" "Asesor 3" "Patrimoniales" 5 2019-11-20 6
"325" "Asesor 4" "Patrimoniales" 5 2019-11-21 8
"326" "Asesor 3" "Personas" 6 2019-11-22 4
"327" "Asesor 3" "Salud" 6 2019-11-23 7
"328" "Asesor 2" "Personas" 2 2019-11-24 2
"329" "Asesor 5" "Auto" 5 2019-11-25 1
"330" "Asesor 2" "Fianzas" 1 2019-11-26 5
"331" "Asesor 5" "Patrimoniales" 1 2019-11-27 5
"332" "Asesor 2" "Auto" 1 2019-11-28 6
"333" "Asesor 5" "Salud" 2 2019-11-29 4
"334" "Asesor 4" "Patrimoniales" 10 2019-11-30 1
"335" "Asesor 1" "Auto" 4 2019-12-01 8
"336" "Asesor 3" "Fianzas" 2 2019-12-02 7
"337" "Asesor 4" "Patrimoniales" 4 2019-12-03 6
"338" "Asesor 1" "Personas" 6 2019-12-04 3
"339" "Asesor 1" "Fianzas" 7 2019-12-05 10
"340" "Asesor 4" "Patrimoniales" 7 2019-12-06 5
"341" "Asesor 4" "Personas" 6 2019-12-07 4
"342" "Asesor 5" "Personas" 2 2019-12-08 4
"343" "Asesor 2" "Salud" 5 2019-12-09 8
"344" "Asesor 2" "Personas" 5 2019-12-10 8
"345" "Asesor 5" "Salud" 10 2019-12-11 4
"346" "Asesor 4" "Fianzas" 2 2019-12-12 4
"347" "Asesor 4" "Fianzas" 8 2019-12-13 3
"348" "Asesor 5" "Salud" 6 2019-12-14 8
"349" "Asesor 3" "Patrimoniales" 6 2019-12-15 2
"350" "Asesor 4" "Auto" 4 2019-12-16 8
"351" "Asesor 5" "Patrimoniales" 4 2019-12-17 10
"352" "Asesor 5" "Auto" 10 2019-12-18 8
"353" "Asesor 2" "Auto" 9 2019-12-19 7
"354" "Asesor 4" "Personas" 9 2019-12-20 4
"355" "Asesor 1" "Salud" 9 2019-12-21 3
"356" "Asesor 4" "Patrimoniales" 1 2019-12-22 9
"357" "Asesor 2" "Salud" 4 2019-12-23 1
"358" "Asesor 4" "Personas" 6 2019-12-24 6
"359" "Asesor 1" "Patrimoniales" 10 2019-12-25 5
"360" "Asesor 1" "Fianzas" 8 2019-12-26 8
"361" "Asesor 1" "Patrimoniales" 10 2019-12-27 2
"362" "Asesor 1" "Fianzas" 2 2019-12-28 10
"363" "Asesor 3" "Patrimoniales" 2 2019-12-29 7
"364" "Asesor 2" "Auto" 6 2019-12-30 1
"365" "Asesor 3" "Fianzas" 4 2019-12-31 2
