"Ramo" "(*) Siniestralidad Incurrida Real (%)" "Siniestralidad Incurrida Presupuesto (%)" "(*) Siniestralidad Incurrida sin IBNR Real (%)" "Siniestralidad Incurrida sin IBNR Presupuesto (%)" "(*) Siniestralidad Incurrida Rolling 12 Real (%)" "Siniestralidad Incurrida Rolling 12 Presupuesto (%)" "Persistencia (%)" "Persistencia Rolling 12 (%)" "Comisiones sobre Devengada Real (%)" "Comisiones sobre Devengada Presupuesto (%)" "Comisiones sobre Cobrado Real (%)" "Comisiones sobre Cobrado Presupuesto (%)" "fecha" "cuentas_esp" "centro"
"11" "AUTOMOVIL CASCO FLOTA" 14.5402084104717 88.528417191701 58.6179333738983 205.332039948553 109.423843817785 184.671688452363 8.63581402227283 27.7496101334691 63.2866038940847 169.607311743312 258.178609889001 82.4445821344852 2019-01-11 "Cuenta 5" "Centro 1"
"12" "AUTOMOVIL" 19.7136091534048 94.2960031547118 229.376630112529 111.003768746741 7.26730669848621 165.819650236517 73.981226910837 73.9538563881069 182.473929179832 154.550433321856 264.436451811343 71.834724675864 2019-01-12 "Cuenta 3" "Centro 4"
"13" "AUTOMOVIL" 4.68846699222922 58.3094002606813 310.592046193779 159.920480358414 106.111421529204 164.826430566609 74.8233381891623 10.3657890576869 64.6518260240555 246.896709012799 188.705618493259 91.2287058308721 2019-01-13 "Cuenta 5" "Centro 5"
"14" "RESPONSABILIDAD CIVIL DE VEHICULOS" 189.073878340423 65.0554697285406 183.178664837033 132.580932788551 9.01150293648243 189.920742856339 38.9940610621125 34.8979725502431 123.079633433372 263.044301583432 354.733158554882 88.9341996982694 2019-01-14 "Cuenta 4" "Centro 4"
"15" "AUTOMOVIL" 184.446154115722 75.0482834400609 334.494781773537 209.990575304255 161.188960820436 27.5273578707129 18.6639099614695 63.8614241732284 72.1191591583192 75.2136770635843 239.637776464224 32.539301039651 2019-01-15 "Cuenta 1" "Centro 5"
"16" "RESPONSABILIDAD CIVIL DE VEHICULOS" 9.08909817226231 94.6151793722529 222.666973527521 211.990448157303 182.465320685878 60.6020272243768 10.4938278673217 72.159691574052 75.249314494431 246.611411869526 203.389702644199 182.796150445938 2019-01-16 "Cuenta 2" "Centro 2"
"17" "AUTOMOVIL CASCO FLOTA" 148.46732178703 41.2711447717156 372.783697023988 94.0957195591182 195.341203827411 103.106613922864 85.6760086957365 47.1870561130345 14.3757951911539 41.8975166045129 252.30520805344 130.205581663176 2019-01-17 "Cuenta 3" "Centro 1"
"18" "AUTOMOVIL" 85.6560337822884 83.7157353125513 111.087705753744 229.195196740329 174.944609962404 19.8889755178243 62.2589021921158 59.829300455749 133.710197824985 175.233464408666 195.300763845444 12.8487194422632 2019-01-18 "Cuenta 2" "Centro 2"
"19" "RESPONSABILIDAD CIVIL DE VEHICULOS" 135.267937602475 92.7439224438276 127.826540078968 101.572971884161 44.1422463394701 165.098495688289 98.5191329149529 25.3273661714047 0.0815452542155981 138.517513638362 175.709442980587 59.6346739679575 2019-01-19 "Cuenta 4" "Centro 5"
"20" "AUTOMOVIL CASCO FLOTA" 163.492469256744 52.949406855274 396.728427615017 213.829715643078 97.4211558233947 192.456303583458 12.2779372613877 69.032417726703 123.894671909511 8.34522612858564 52.7287481352687 132.875009533018 2019-01-20 "Cuenta 3" "Centro 1"
"21" "AUTOMOVIL CASCO FLOTA" 0.0169543083757162 17.2024619895965 286.261717416346 297.389088920318 76.4579907059669 154.609002871439 78.9892219007015 54.9839338287711 97.2333777695894 157.129603601061 135.887867584825 75.8375365752727 2019-01-21 "Cuenta 4" "Centro 4"
"22" "AUTOMOVIL CASCO FLOTA" 191.254484234378 74.3412789495196 40.3574890457094 4.36212122440338 100.895386515185 189.394881715998 37.3093544039875 83.3861869759858 109.661639435217 91.6400156216696 92.0639004558325 101.254116650671 2019-01-22 "Cuenta 2" "Centro 2"
"23" "AUTOMOVIL CASCO FLOTA" 169.449639692903 91.0319744627923 124.172880407423 58.4702789084986 192.692517535761 128.187194373459 84.4841539626941 13.2601738441736 131.727665988728 20.0776977231726 48.0765603482723 126.604206161574 2019-01-23 "Cuenta 4" "Centro 4"
"24" "AUTOMOVIL CASCO FLOTA" 72.9970681015402 42.1598797021434 103.85597134009 0.0778566347435117 178.350534755737 70.6853377167135 78.6349335219711 75.4433666355908 107.406102726236 30.5385221494362 233.398381713778 158.829367114231 2019-01-24 "Cuenta 3" "Centro 3"
"25" "AUTOMOVIL" 96.9027368817478 34.689206083538 209.965587500483 155.710515822284 128.915329929441 35.6504529714584 29.3440421810374 14.4551364239305 48.0002007912844 105.696711852215 323.918459005654 138.718332722783 2019-01-25 "Cuenta 4" "Centro 4"
"26" "AUTOMOVIL CASCO FLOTA" 145.307506248355 93.0487395874225 200.502697937191 228.82871136535 104.695759480819 14.271933445707 77.6774992002174 99.6834786841646 169.38084741123 290.781410573982 337.556581571698 128.813637373969 2019-01-26 "Cuenta 1" "Centro 2"
"27" "AUTOMOVIL" 58.1511163152754 1.50574324186891 336.019314173609 78.4563810797408 26.239360217005 133.365683676675 98.2317965012044 93.2423147140071 155.771724460647 272.188803716563 41.5727896615863 158.968545449898 2019-01-27 "Cuenta 5" "Centro 2"
"28" "AUTOMOVIL" 15.1676182635128 73.110721523175 54.1648749262094 229.104373790324 106.405772874132 99.8832817655057 29.6874680556357 98.8496212521568 42.2772308811545 15.4247023165226 20.1388826593757 53.8507883902639 2019-01-28 "Cuenta 3" "Centro 5"
"29" "AUTOMOVIL" 168.747379118577 26.0616348956246 331.582456547767 293.299298803322 95.0011522043496 50.6621339358389 59.5142873004079 79.2684425599873 78.2921426929533 231.965071731247 23.4574114903808 176.60003057681 2019-01-29 "Cuenta 1" "Centro 3"
"30" "AUTOMOVIL CASCO FLOTA" 46.9807757996023 41.5734032241162 221.009893901646 232.23047121428 128.146322676912 18.5774911660701 3.72831341810524 46.0816324921325 77.2381545975804 34.1960327234119 157.463066093624 157.666605804116 2019-01-30 "Cuenta 4" "Centro 4"
"31" "AUTOMOVIL" 158.45922078006 36.2927778125741 219.765803590417 55.5130602791905 119.590093614534 10.6748278718442 92.1660890104249 99.0858757635579 42.629640782252 288.763049128465 104.468407761306 62.2434343211353 2019-01-31 "Cuenta 3" "Centro 2"
"32" "RESPONSABILIDAD CIVIL DE VEHICULOS" 181.937037687749 27.0328171236906 104.202450439334 263.219317677431 186.134542711079 75.4293095786124 76.1475227540359 13.6052162153646 135.943864565343 206.831730762497 376.265217550099 62.2266515158117 2019-02-01 "Cuenta 5" "Centro 3"
"33" "AUTOMOVIL" 6.86417985707521 48.1322166039608 351.411677058786 247.572574065998 43.084654584527 32.466640137136 48.3124770922586 24.7357354033738 172.228908492252 4.14973148144782 103.033331781626 164.051768742502 2019-02-02 "Cuenta 4" "Centro 2"
"34" "RESPONSABILIDAD CIVIL DE VEHICULOS" 44.7426694910973 74.7900168658234 23.2909110374749 171.411047573201 110.250577796251 99.199029430747 68.8488662941381 25.1710209995508 115.526611218229 268.647173093632 335.043094400316 12.5696881208569 2019-02-03 "Cuenta 1" "Centro 1"
"35" "AUTOMOVIL CASCO FLOTA" 9.44739957340062 66.9460016773082 37.0974468067288 216.658935206942 59.0302127879113 0.412515923380852 89.1530826454982 84.1484247241169 103.950612340122 266.753722121939 167.433194629848 31.0745975468308 2019-02-04 "Cuenta 5" "Centro 5"
"36" "RESPONSABILIDAD CIVIL DE VEHICULOS" 137.702718703076 91.5076802074909 277.176234405488 219.331071339548 5.015500029549 59.3345936853439 67.2088334104046 5.19431128632277 104.085512785241 80.6179780745879 47.784414421767 23.7590227276087 2019-02-05 "Cuenta 4" "Centro 1"
"37" "AUTOMOVIL CASCO FLOTA" 100.421650102362 61.5198949230835 234.395164251328 187.298104749061 86.2599069718271 174.665043270215 93.063035607338 71.6940525686368 156.240745633841 130.89059216436 71.0266090929508 27.8871312271804 2019-02-06 "Cuenta 5" "Centro 5"
"38" "AUTOMOVIL" 102.998396521434 96.3504963025916 105.291403830051 92.3872678074986 152.716542128474 148.560050642118 21.691002859734 53.7681302521378 57.0144383236766 78.835882851854 304.88129388541 190.286921709776 2019-02-07 "Cuenta 3" "Centro 4"
"39" "AUTOMOVIL" 87.9475821275264 77.9294555177912 391.141666285694 42.834259243682 85.2568151894957 174.633134063333 78.1439115293324 4.29047141224146 33.0949790775776 198.423571698368 144.665107503533 86.4996820688248 2019-02-08 "Cuenta 3" "Centro 4"
"40" "AUTOMOVIL" 18.8937528990209 90.9628860203084 259.411089029163 45.9497084375471 117.296625860035 103.365422924981 38.4777259780094 61.3833423005417 83.5379130672663 58.7552827550098 123.993632476777 17.4208375625312 2019-02-09 "Cuenta 1" "Centro 1"
"41" "AUTOMOVIL CASCO FLOTA" 99.5614083018154 9.25268269376829 335.876141581684 96.1956713581458 140.84543841891 79.4334003701806 40.6680865678936 35.2868743240833 135.351777682081 6.6046956460923 362.081462796777 126.020306488499 2019-02-10 "Cuenta 5" "Centro 1"
"42" "AUTOMOVIL" 157.833828311414 82.0674001448788 77.7852838858962 101.054392685182 165.642818342894 108.807746646926 31.3116132747382 19.5853648707271 187.200672226027 197.320298594423 47.1000729128718 8.09860690496862 2019-02-11 "Cuenta 4" "Centro 3"
"43" "AUTOMOVIL" 187.328153010458 12.9139236854389 262.140678893775 256.207050383091 115.855026198551 131.579873617738 47.0787648577243 34.6088385675102 109.012414561585 166.741342493333 243.784968741238 12.9919785540551 2019-02-12 "Cuenta 2" "Centro 3"
"44" "RESPONSABILIDAD CIVIL DE VEHICULOS" 190.89765092358 25.698496834375 37.6743921078742 153.305713576265 112.990149157122 10.8878887724131 48.522574477829 50.1194429583848 121.137518063188 178.646714519709 168.818146456033 179.506215779111 2019-02-13 "Cuenta 3" "Centro 3"
"45" "RESPONSABILIDAD CIVIL DE VEHICULOS" 164.324190607294 72.7981311492622 30.0298481248319 109.699059370905 162.462910916656 186.938524292782 87.7290535951033 87.4614681582898 162.364302063361 166.47594824899 174.85524257645 83.4237788338214 2019-02-14 "Cuenta 2" "Centro 5"
"46" "AUTOMOVIL" 22.4435762967914 12.5762161863968 161.625468824059 276.545662782155 166.897077439353 44.8393895756453 72.3993016639724 80.1443360280246 64.6172806154937 78.7019796436653 258.004702627659 68.6945522204041 2019-02-15 "Cuenta 5" "Centro 2"
"47" "RESPONSABILIDAD CIVIL DE VEHICULOS" 97.8141210507601 86.6846673749387 252.063868101686 124.042765237391 127.003587363288 41.7885614093393 71.14329689648 3.05833322927356 148.093859665096 295.125322113745 28.3061513677239 130.949259828776 2019-02-16 "Cuenta 5" "Centro 3"
"48" "AUTOMOVIL CASCO FLOTA" 54.6270535327494 36.1375177539885 68.9042334444821 70.3342830296606 120.959352934733 186.90573698841 37.1572054456919 51.2085331836715 120.307371020317 47.239452903159 257.590148691088 187.137358495966 2019-02-17 "Cuenta 2" "Centro 3"
"49" "AUTOMOVIL CASCO FLOTA" 53.8850086741149 71.8438883766066 2.93109565973282 73.5003384528682 186.157703585923 112.023513764143 91.2689090473577 38.2333075162023 82.489246642217 171.655724197626 138.615579623729 39.0579785220325 2019-02-18 "Cuenta 3" "Centro 1"
"50" "AUTOMOVIL" 7.62726585380733 98.4831843948923 162.98566814512 154.070575092919 199.669669242576 176.31254112348 5.21541773341596 89.2349923728034 181.024754606187 182.993609667756 112.520801089704 61.5435757674277 2019-02-19 "Cuenta 1" "Centro 3"
"51" "AUTOMOVIL" 45.1307404786348 15.1507939475123 296.924881264567 41.3565471768379 96.4388952590525 128.898222837597 29.5642883284017 99.8075685463846 138.419004855677 137.774731591344 183.463403489441 63.3332374040037 2019-02-20 "Cuenta 4" "Centro 4"
"52" "AUTOMOVIL" 169.823979074135 10.249193532858 59.0671403333545 170.219950983301 166.206328663975 2.49551306478679 60.0504324771464 57.7921902062371 50.2865701448172 9.1745825484395 34.9597658962011 91.486677993089 2019-02-21 "Cuenta 3" "Centro 2"
"53" "RESPONSABILIDAD CIVIL DE VEHICULOS" 30.7400447316468 28.7787736961618 325.085243023932 7.53362809773535 40.1788303628564 163.952137622982 86.8213132722303 72.3429095232859 191.598021285608 282.810355816036 139.409145060927 125.035871332511 2019-02-22 "Cuenta 3" "Centro 2"
"54" "RESPONSABILIDAD CIVIL DE VEHICULOS" 85.6172487605363 49.6264158729464 39.6274602971971 205.521898716688 97.2148103639483 28.1298096291721 45.5678223632276 8.49462347105145 120.216143270954 199.635689053684 374.054915457964 14.8859065957367 2019-02-23 "Cuenta 3" "Centro 1"
"55" "AUTOMOVIL" 2.40897256880999 58.8247855766676 187.399005237967 41.62473147735 110.557202156633 136.523193307221 16.3255474762991 64.9203217355534 154.946959391236 200.018557487056 30.5288224481046 115.453156176955 2019-02-24 "Cuenta 2" "Centro 4"
"56" "RESPONSABILIDAD CIVIL DE VEHICULOS" 39.4059502519667 76.3148849548306 185.43988969177 211.156657780521 128.84852970019 120.150725683197 55.8858918957412 97.1967711113393 21.948814811185 103.943739272654 269.764559715986 27.2733585443348 2019-02-25 "Cuenta 3" "Centro 2"
"57" "AUTOMOVIL" 12.3480312526226 24.2779511758126 319.467522669584 234.122340101749 146.712658042088 30.1788155455142 37.6709719421342 95.6048415275291 103.923678118736 248.726068460383 344.88537851721 38.2972707040608 2019-02-26 "Cuenta 5" "Centro 3"
"58" "RESPONSABILIDAD CIVIL DE VEHICULOS" 150.182740809396 66.982073933119 357.781296595931 295.704149524681 98.3434699010104 85.3607326280326 89.1529960557818 6.76928588654846 62.5753701664507 92.0947731239721 207.335519790649 127.525420999154 2019-02-27 "Cuenta 3" "Centro 5"
"59" "AUTOMOVIL" 166.762374248356 5.57204059697688 229.498607106507 290.474089700729 146.360875153914 181.150286877528 56.4032123191282 98.6555591924116 155.549701536074 45.4389596125111 243.50553015247 67.2145660500973 2019-02-28 "Cuenta 1" "Centro 2"
"60" "RESPONSABILIDAD CIVIL DE VEHICULOS" 13.9976789243519 72.748031765921 90.1912178844213 187.063456163742 172.995621338487 160.417787823826 4.82085996773094 7.24200084805489 199.025014881045 123.709621047601 59.648737218231 95.803058007732 2019-03-01 "Cuenta 2" "Centro 5"
"61" "AUTOMOVIL" 126.37950014323 69.1129486174323 383.2131434232 12.8124205162749 31.0925043653697 137.195830512792 25.3809694433585 70.2863977989182 13.7905589770526 27.7582737850025 18.2114340364933 32.1155918296427 2019-03-02 "Cuenta 3" "Centro 4"
"62" "AUTOMOVIL CASCO FLOTA" 127.813571784645 41.9135660801549 122.989467717707 265.757274976932 62.2514539398253 26.306464523077 50.4091262118891 68.7940329313278 198.556661605835 219.362797122449 202.29736790061 39.8199874907732 2019-03-03 "Cuenta 3" "Centro 5"
"63" "AUTOMOVIL" 6.93594855256379 76.1095164541621 198.636207263917 22.5797353545204 10.2709899656475 151.436831569299 17.3857486108318 28.5914391279221 154.430162673816 173.569825245067 154.932054691017 122.038127342239 2019-03-04 "Cuenta 5" "Centro 2"
"64" "RESPONSABILIDAD CIVIL DE VEHICULOS" 9.20098377391696 93.9996928151231 22.3993943072855 123.534637014382 29.2412662878633 98.9972362760454 19.4944072281942 96.0398088209331 123.577637085691 142.637213109992 259.359095431864 58.8405187241733 2019-03-05 "Cuenta 2" "Centro 2"
"65" "AUTOMOVIL CASCO FLOTA" 88.5928841773421 16.1107483375818 190.484855603427 21.9402087852359 77.464609593153 15.5097998678684 8.10524732805789 19.9362664017826 33.6771996226162 232.423663535155 81.8287725560367 58.9039746671915 2019-03-06 "Cuenta 3" "Centro 3"
"66" "RESPONSABILIDAD CIVIL DE VEHICULOS" 72.3803353495896 23.9521071941126 322.260386124253 218.569966312498 76.9705094862729 118.777075083926 54.0543750161305 33.9374177157879 73.5433203168213 188.72519787401 64.993098936975 63.5507503058761 2019-03-07 "Cuenta 4" "Centro 5"
"67" "AUTOMOVIL CASCO FLOTA" 63.428577920422 22.8928099847399 344.636433850974 122.010611509904 69.2665140610188 55.5560846347362 48.499764315784 64.9028865387663 29.4842613395303 15.7586073037237 381.719480641186 130.174177279696 2019-03-08 "Cuenta 5" "Centro 2"
"68" "RESPONSABILIDAD CIVIL DE VEHICULOS" 48.4893555287272 78.7970456390176 102.195076085627 255.705124698579 160.011270549148 165.356492996216 28.269692696631 35.6253827689216 170.334081817418 209.087059297599 292.040315642953 139.058683719486 2019-03-09 "Cuenta 5" "Centro 5"
"69" "AUTOMOVIL" 61.3261815626174 90.7170766221825 11.4452371373773 20.8757291547954 106.374624790624 39.0250075608492 98.0438950238749 23.06249209214 10.4583951178938 18.2101830840111 266.744390130043 90.2187041006982 2019-03-10 "Cuenta 1" "Centro 1"
"70" "AUTOMOVIL CASCO FLOTA" 68.9982415176928 54.0795757193118 397.017778176814 249.96262982022 194.841508055106 192.000431008637 4.48388929944485 51.9713801564649 96.3162129744887 290.491218678653 227.971723675728 66.264976747334 2019-03-11 "Cuenta 3" "Centro 5"
"71" "AUTOMOVIL" 73.4542017802596 34.9184685256332 313.646876253188 98.883877764456 19.1553777549416 40.7164703588933 69.7406733874232 34.1199546353891 63.2511553354561 247.912277723663 236.68099725619 97.9086660780013 2019-03-12 "Cuenta 3" "Centro 2"
"72" "AUTOMOVIL CASCO FLOTA" 28.9060111623257 89.8040389313828 370.661172736436 114.279458275996 6.56925421208143 163.294148957357 12.1815965743735 17.2018504934385 128.946343855932 248.181758215651 220.998555235565 38.6714010965079 2019-03-13 "Cuenta 2" "Centro 1"
"73" "AUTOMOVIL CASCO FLOTA" 157.332717627287 79.2288794359192 51.7031640745699 224.611816043034 45.6295158714056 70.0741874519736 91.1924545420334 52.9353940393776 125.877186469734 143.431812990457 394.569581467658 172.382811643183 2019-03-14 "Cuenta 4" "Centro 2"
"74" "RESPONSABILIDAD CIVIL DE VEHICULOS" 23.8066862337291 30.5194309276994 304.388810321689 179.337844555266 75.8827873039991 70.4017681535333 74.925469676964 42.1634143684059 101.437734393403 86.6703388513997 179.219113755971 68.0336673278362 2019-03-15 "Cuenta 2" "Centro 4"
"75" "RESPONSABILIDAD CIVIL DE VEHICULOS" 109.603418037295 55.931025282247 269.447305612266 290.911495126784 99.8643752653152 160.030805086717 77.6690578320995 84.4092511106282 149.806982511654 26.864672661759 113.269119337201 85.9919148962945 2019-03-16 "Cuenta 2" "Centro 4"
"76" "RESPONSABILIDAD CIVIL DE VEHICULOS" 103.929346753284 69.5763106623199 258.679701387882 201.28259297926 25.2072201110423 7.60367256589234 37.1293576201424 36.6520531475544 98.1301107443869 249.974633124657 344.905644562095 31.6387464758009 2019-03-17 "Cuenta 5" "Centro 5"
"77" "AUTOMOVIL CASCO FLOTA" 144.652710063383 22.5872153337114 276.270017866045 46.6210823971778 105.289950361475 72.2239599563181 41.3491697749123 64.9798602098599 153.483672905713 177.821038244292 118.642794154584 110.311156092212 2019-03-18 "Cuenta 4" "Centro 5"
"78" "AUTOMOVIL CASCO FLOTA" 106.538653420284 99.497934676474 104.813756793737 181.237488496117 191.499400744215 79.4839673209935 27.5464750127867 23.3295245096087 53.1406500376761 27.1799366455525 183.997640386224 162.051437329501 2019-03-19 "Cuenta 1" "Centro 5"
"79" "AUTOMOVIL CASCO FLOTA" 138.312743231654 8.54633322171867 55.1722750067711 114.181764051318 153.431479912251 22.7775305043906 58.0713901901618 89.3420601263642 132.910443563014 224.017136078328 146.79942233488 74.2807001341134 2019-03-20 "Cuenta 3" "Centro 3"
"80" "AUTOMOVIL CASCO FLOTA" 96.2624188978225 35.8074238393456 6.10699532553554 47.419456159696 147.898138407618 175.596435554326 61.158207221888 78.0424009542912 106.816395139322 241.712511121295 208.332526683807 185.000082477927 2019-03-21 "Cuenta 1" "Centro 5"
"81" "AUTOMOVIL" 40.2438967954367 59.3297918334138 129.15714289993 20.6564910477027 33.3752784878016 19.7060469072312 3.65682486444712 3.17403555382043 110.009575355798 220.058501651511 234.040095191449 156.453485088423 2019-03-22 "Cuenta 1" "Centro 2"
"82" "RESPONSABILIDAD CIVIL DE VEHICULOS" 45.1378545258194 32.1771801104769 24.2674626410007 228.238623356447 120.140560064465 141.555216303095 38.2791768526658 56.4908038591966 43.5697106644511 227.413081750274 253.453479334712 127.935066027567 2019-03-23 "Cuenta 4" "Centro 1"
"83" "AUTOMOVIL CASCO FLOTA" 92.2237772028893 71.4032764513977 126.084135100245 263.374874205329 25.7587193511426 8.13856553286314 20.0852246489376 21.9134457875043 46.5724034234881 103.691574325785 238.41513376683 100.168949505314 2019-03-24 "Cuenta 1" "Centro 4"
"84" "AUTOMOVIL" 38.8788133859634 10.8052296647802 341.125127766281 58.2267155405134 20.8016874268651 168.885741941631 20.6273884978145 35.7916486915201 58.2842586096376 140.099275787361 155.401345249265 55.3776099812239 2019-03-25 "Cuenta 3" "Centro 5"
"85" "RESPONSABILIDAD CIVIL DE VEHICULOS" 83.116970397532 83.5960582916159 151.647733803838 82.4251534882933 176.996365329251 152.745100017637 55.6037395726889 26.2859809445217 198.813058389351 253.178271045908 201.58873712644 126.941704237834 2019-03-26 "Cuenta 3" "Centro 5"
"86" "RESPONSABILIDAD CIVIL DE VEHICULOS" 41.6389556135982 80.6768053837586 58.0041298642755 281.163401249796 137.601805943996 184.506434388459 84.0369103476405 1.38203399255872 136.492383293808 290.328708384186 0.0108802691102028 45.8453290164471 2019-03-27 "Cuenta 3" "Centro 1"
"87" "AUTOMOVIL" 74.3248059414327 83.5987143239472 173.32025822252 235.363586386666 139.481558836997 116.376974666491 73.0852666543797 4.02668323367834 82.0135673973709 289.306188980117 268.31023786217 144.802373461425 2019-03-28 "Cuenta 5" "Centro 5"
"88" "AUTOMOVIL" 95.5483568366617 81.8990975725465 48.9508576691151 285.707991337404 85.5591311119497 198.409129120409 13.818922592327 9.16810645721853 12.2151046525687 92.1071669552475 262.394462991506 91.626237006858 2019-03-29 "Cuenta 1" "Centro 1"
"89" "RESPONSABILIDAD CIVIL DE VEHICULOS" 136.245469097048 97.5679688949604 42.2281357459724 294.386032246985 191.922842385247 190.701976185665 92.8787601646036 45.3455292852595 193.528075003996 10.323544498533 18.4544045478106 20.8182066679001 2019-03-30 "Cuenta 5" "Centro 1"
"90" "AUTOMOVIL CASCO FLOTA" 199.087579920888 99.4061165598687 365.65723689273 85.082890978083 27.020131284371 111.368678230792 38.3566273609176 99.3724074680358 51.7763239797205 228.415443166159 212.142048869282 97.802740894258 2019-03-31 "Cuenta 5" "Centro 4"
"91" "AUTOMOVIL" 1.79779920727015 17.3969351749402 152.386602852494 141.459236294031 98.8174066413194 194.695585547015 25.2294153207913 21.2751426035538 184.313477762043 215.406877873465 52.6808865368366 138.130474276841 2019-04-01 "Cuenta 3" "Centro 2"
"92" "AUTOMOVIL CASCO FLOTA" 24.3448605295271 18.4013919827994 378.130021784455 184.691597032361 142.089169984683 58.3808065392077 2.39082674961537 22.1359229646623 121.994462003931 126.140929246321 219.247074145824 8.48504407331347 2019-04-02 "Cuenta 2" "Centro 3"
"93" "AUTOMOVIL" 86.271086987108 85.6339354019146 76.6448225826025 182.321617542766 23.3558922074735 194.697001669556 9.08461180515587 9.83321310486645 139.07704395242 43.5071418760344 366.187908686697 189.584035752341 2019-04-03 "Cuenta 2" "Centro 3"
"94" "RESPONSABILIDAD CIVIL DE VEHICULOS" 29.3453998863697 25.6130692337174 267.488432396203 148.181428061798 61.4751702174544 52.0017377100885 44.188628019765 46.5484905987978 12.7984157763422 3.67732888553292 338.992694765329 29.5638911891729 2019-04-04 "Cuenta 1" "Centro 1"
"95" "RESPONSABILIDAD CIVIL DE VEHICULOS" 164.891376439482 15.8913491135463 87.4449272640049 268.585263029672 97.5134130101651 105.035281460732 27.9850481776521 36.7368773790076 46.4705019257963 136.650111316703 80.8508679270744 106.174409156665 2019-04-05 "Cuenta 5" "Centro 5"
"96" "RESPONSABILIDAD CIVIL DE VEHICULOS" 40.4183449689299 71.1124472268857 60.7195621356368 58.7286558235064 194.704027799889 127.706703403965 0.584194995462894 68.1584036210552 85.7708358671516 3.148044180125 263.940601237118 183.475820813328 2019-04-06 "Cuenta 2" "Centro 3"
"97" "RESPONSABILIDAD CIVIL DE VEHICULOS" 27.266162680462 39.9863298381679 317.202395945787 161.793859954923 12.1775776613504 76.8674246035516 73.6349752405658 46.0029075155035 60.7923714909703 168.390698544681 167.624639254063 33.7313164956868 2019-04-07 "Cuenta 2" "Centro 1"
