"state" "period" "claim_type" "avg_state"
"211" "BA" "after_1_30" "Carrier" 1212
"212" "MI" "after_1_30" "Durable Medical Equipment" 93
"213" "CO" "after_1_30" "Home Health Agency" 805
"214" "DA" "after_1_30" "Hospice" 191
"215" "NE" "after_1_30" "Inpatient" 2829
"216" "DP" "after_1_30" "Outpatient" 963
"217" "CO" "after_1_30" "Skilled Nursing Facility" 2545
"218" "PO" "during" "Carrier" 1500
"219" "TA" "during" "Durable Medical Equipment" 20
"220" "ZU" "during" "Home Health Agency" 0
"221" "AP" "during" "Hospice" 0
"222" "CO" "during" "Inpatient" 10093
"223" "TR" "during" "Outpatient" 0
"224" "NE" "during" "Skilled Nursing Facility" 0
"225" "SU" "prior_1_3" "Carrier" 576
"226" "TR" "prior_1_3" "Durable Medical Equipment" 8
"227" "AP" "prior_1_3" "Home Health Agency" 12
"228" "TA" "prior_1_3" "Hospice" 1
"229" "SU" "prior_1_3" "Inpatient" 6
"230" "AN" "prior_1_3" "Outpatient" 119
"231" "BO" "prior_1_3" "Skilled Nursing Facility" 2
"232" "DF" "after_1_30" "Carrier" 901
"233" "TR" "after_1_30" "Durable Medical Equipment" 50
"234" "CA" "after_1_30" "Home Health Agency" 411
"235" "LA" "after_1_30" "Hospice" 202
"236" "FA" "after_1_30" "Inpatient" 2169
"237" "AN" "after_1_30" "Outpatient" 962
"238" "NE" "after_1_30" "Skilled Nursing Facility" 3312
"239" "PO" "during" "Carrier" 1474
"240" "NU" "during" "Durable Medical Equipment" 13
"241" "GU" "during" "Home Health Agency" 0
"242" "BA" "during" "Hospice" 0
"243" "FA" "during" "Inpatient" 10708
"244" "YA" "during" "Outpatient" 0
"245" "DF" "during" "Skilled Nursing Facility" 0
"246" "DF" "prior_1_3" "Carrier" 706
"247" "NE" "prior_1_3" "Durable Medical Equipment" 3
"248" "TR" "prior_1_3" "Home Health Agency" 6
"249" "DP" "prior_1_3" "Hospice" 0
"250" "NE" "prior_1_3" "Inpatient" 4
"251" "CO" "prior_1_3" "Outpatient" 140
"252" "DP" "prior_1_3" "Skilled Nursing Facility" 1
"253" "ME" "after_1_30" "Carrier" 903
"254" "DF" "after_1_30" "Durable Medical Equipment" 76
"255" "DF" "after_1_30" "Home Health Agency" 494
"256" "MO" "after_1_30" "Hospice" 146
"257" "NU" "after_1_30" "Inpatient" 2048
"258" "MI" "after_1_30" "Outpatient" 1016
"259" "DA" "after_1_30" "Skilled Nursing Facility" 2964
"260" "NU" "during" "Carrier" 1396
"261" "AN" "during" "Durable Medical Equipment" 22
"262" "SU" "during" "Home Health Agency" 0
"263" "TA" "during" "Hospice" 0
"264" "MO" "during" "Inpatient" 10244
"265" "MO" "during" "Outpatient" 0
"266" "FA" "during" "Skilled Nursing Facility" 0
"267" "MI" "prior_1_3" "Carrier" 524
"268" "PO" "prior_1_3" "Durable Medical Equipment" 7
"269" "AP" "prior_1_3" "Home Health Agency" 6
"270" "DP" "prior_1_3" "Hospice" 0
"271" "DA" "prior_1_3" "Inpatient" 7
"272" "VA" "prior_1_3" "Outpatient" 323
"273" "DA" "prior_1_3" "Skilled Nursing Facility" 2
"274" "LA" "after_1_30" "Carrier" 711
"275" "BA" "after_1_30" "Durable Medical Equipment" 80
"276" "CA" "after_1_30" "Home Health Agency" 860
"277" "DA" "after_1_30" "Hospice" 173
"278" "FA" "after_1_30" "Inpatient" 2165
"279" "GU" "after_1_30" "Outpatient" 1042
"280" "YA" "after_1_30" "Skilled Nursing Facility" 2752
"281" "MI" "during" "Carrier" 1406
"282" "SU" "during" "Durable Medical Equipment" 19
"283" "ME" "during" "Home Health Agency" 0
"284" "DA" "during" "Hospice" 0
"285" "AP" "during" "Inpatient" 11061
"286" "SU" "during" "Outpatient" 0
"287" "DA" "during" "Skilled Nursing Facility" 0
"288" "AP" "prior_1_3" "Carrier" 655
"289" "DP" "prior_1_3" "Durable Medical Equipment" 7
"290" "DP" "prior_1_3" "Home Health Agency" 11
"291" "AP" "prior_1_3" "Hospice" 1
"292" "DA" "prior_1_3" "Inpatient" 5
"293" "ZU" "prior_1_3" "Outpatient" 309
"294" "NE" "prior_1_3" "Skilled Nursing Facility" 2
"295" "PO" "after_1_30" "Carrier" 1262
"296" "DA" "after_1_30" "Durable Medical Equipment" 87
"297" "CA" "after_1_30" "Home Health Agency" 774
"298" "NE" "after_1_30" "Hospice" 124
"299" "AR" "after_1_30" "Inpatient" 2709
"300" "CO" "after_1_30" "Outpatient" 918
"301" "ME" "after_1_30" "Skilled Nursing Facility" 3763
"302" "DP" "during" "Carrier" 1595
"303" "AN" "during" "Durable Medical Equipment" 20
"304" "FA" "during" "Home Health Agency" 0
"305" "NE" "during" "Hospice" 0
"306" "AN" "during" "Inpatient" 9812
"307" "ZU" "during" "Outpatient" 0
"308" "BA" "during" "Skilled Nursing Facility" 0
"309" "DA" "prior_1_3" "Carrier" 564
"310" "BO" "prior_1_3" "Durable Medical Equipment" 7
"311" "AP" "prior_1_3" "Home Health Agency" 11
"312" "FA" "prior_1_3" "Hospice" 0
"313" "PO" "prior_1_3" "Inpatient" 6
"314" "FA" "prior_1_3" "Outpatient" 125
"315" "ME" "prior_1_3" "Skilled Nursing Facility" 3
"316" "FA" "after_1_30" "Carrier" 1063
"317" "TA" "after_1_30" "Durable Medical Equipment" 87
"318" "BA" "after_1_30" "Home Health Agency" 594
"319" "BO" "after_1_30" "Hospice" 125
"320" "YA" "after_1_30" "Inpatient" 2834
"321" "LA" "after_1_30" "Outpatient" 1006
"322" "YA" "after_1_30" "Skilled Nursing Facility" 3749
"323" "DA" "during" "Carrier" 1453
"324" "AR" "during" "Durable Medical Equipment" 18
"325" "MI" "during" "Home Health Agency" 0
"326" "TR" "during" "Hospice" 0
"327" "DA" "during" "Inpatient" 10092
"328" "MI" "during" "Outpatient" 0
"329" "TR" "during" "Skilled Nursing Facility" 0
"330" "YA" "prior_1_3" "Carrier" 535
"331" "NE" "prior_1_3" "Durable Medical Equipment" 8
"332" "CO" "prior_1_3" "Home Health Agency" 9
"333" "FA" "prior_1_3" "Hospice" 0
"334" "AN" "prior_1_3" "Inpatient" 6
"335" "BO" "prior_1_3" "Outpatient" 201
"336" "AM" "prior_1_3" "Skilled Nursing Facility" 2
"337" "AP" "after_1_30" "Carrier" 984
"338" "ME" "after_1_30" "Durable Medical Equipment" 101
"339" "SU" "after_1_30" "Home Health Agency" 654
"340" "VA" "after_1_30" "Hospice" 134
"341" "CO" "after_1_30" "Inpatient" 2731
"342" "PO" "after_1_30" "Outpatient" 912
"343" "CA" "after_1_30" "Skilled Nursing Facility" 3095
"344" "DA" "during" "Carrier" 1540
"345" "CO" "during" "Durable Medical Equipment" 19
"346" "AR" "during" "Home Health Agency" 0
"347" "MI" "during" "Hospice" 0
"348" "CA" "during" "Inpatient" 10544
"349" "ME" "during" "Outpatient" 0
"350" "DA" "during" "Skilled Nursing Facility" 0
"351" "SU" "prior_1_3" "Carrier" 538
"352" "ZU" "prior_1_3" "Durable Medical Equipment" 8
"353" "NU" "prior_1_3" "Home Health Agency" 10
"354" "FA" "prior_1_3" "Hospice" 0
"355" "PO" "prior_1_3" "Inpatient" 8
"356" "AR" "prior_1_3" "Outpatient" 186
"357" "AN" "prior_1_3" "Skilled Nursing Facility" 2
"358" "BO" "after_1_30" "Carrier" 1034
"359" "AR" "after_1_30" "Durable Medical Equipment" 107
"360" "AM" "after_1_30" "Home Health Agency" 794
"361" "AR" "after_1_30" "Hospice" 131
"362" "AN" "after_1_30" "Inpatient" 2928
"363" "DF" "after_1_30" "Outpatient" 880
"364" "FA" "after_1_30" "Skilled Nursing Facility" 3097
"365" "DP" "during" "Carrier" 1418
"366" "BA" "during" "Durable Medical Equipment" 25
"367" "ME" "during" "Home Health Agency" 0
"368" "YA" "during" "Hospice" 0
"369" "YA" "during" "Inpatient" 9857
"370" "DA" "during" "Outpatient" 0
"371" "CO" "during" "Skilled Nursing Facility" 0
"372" "ME" "prior_1_3" "Carrier" 617
"373" "NE" "prior_1_3" "Durable Medical Equipment" 10
"374" "ZU" "prior_1_3" "Home Health Agency" 13
"375" "TA" "prior_1_3" "Hospice" 0
"376" "CA" "prior_1_3" "Inpatient" 10
"377" "SU" "prior_1_3" "Outpatient" 158
"378" "MO" "prior_1_3" "Skilled Nursing Facility" 3
"379" "AR" "after_1_30" "Carrier" 1092
"380" "VA" "after_1_30" "Durable Medical Equipment" 117
"381" "MO" "after_1_30" "Home Health Agency" 923
"382" "CO" "after_1_30" "Hospice" 201
"383" "MI" "after_1_30" "Inpatient" 4269
"384" "BA" "after_1_30" "Outpatient" 1007
"385" "AN" "after_1_30" "Skilled Nursing Facility" 2621
"386" "BA" "during" "Carrier" 1446
"387" "DA" "during" "Durable Medical Equipment" 27
"388" "TA" "during" "Home Health Agency" 0
"389" "AR" "during" "Hospice" 0
"390" "CO" "during" "Inpatient" 10015
"391" "AM" "during" "Outpatient" 0
"392" "AN" "during" "Skilled Nursing Facility" 0
"393" "YA" "prior_1_3" "Carrier" 575
"394" "GU" "prior_1_3" "Durable Medical Equipment" 9
"395" "DP" "prior_1_3" "Home Health Agency" 20
"396" "ME" "prior_1_3" "Hospice" 1
"397" "LA" "prior_1_3" "Inpatient" 8
"398" "BA" "prior_1_3" "Outpatient" 160
"399" "DF" "prior_1_3" "Skilled Nursing Facility" 3
"400" "FA" "after_1_30" "Carrier" 1190
"401" "FA" "after_1_30" "Durable Medical Equipment" 71
"402" "ME" "after_1_30" "Home Health Agency" 1192
"403" "AR" "after_1_30" "Hospice" 113
"404" "SU" "after_1_30" "Inpatient" 2752
"405" "NU" "after_1_30" "Outpatient" 843
"406" "GU" "after_1_30" "Skilled Nursing Facility" 3003
"407" "ME" "during" "Carrier" 1378
"408" "BA" "during" "Durable Medical Equipment" 10
"409" "AN" "during" "Home Health Agency" 0
"410" "CA" "during" "Hospice" 0
"411" "FA" "during" "Inpatient" 9480
"412" "AP" "during" "Outpatient" 0
"413" "BA" "during" "Skilled Nursing Facility" 0
"414" "DP" "prior_1_3" "Carrier" 599
"415" "BO" "prior_1_3" "Durable Medical Equipment" 6
"416" "AR" "prior_1_3" "Home Health Agency" 17
"417" "NE" "prior_1_3" "Hospice" 0
"418" "AR" "prior_1_3" "Inpatient" 8
"419" "DA" "prior_1_3" "Outpatient" 127
"420" "VA" "prior_1_3" "Skilled Nursing Facility" 2
"421" "BA" "after_1_30" "Carrier" 834
"422" "CO" "after_1_30" "Durable Medical Equipment" 65
"423" "DF" "after_1_30" "Home Health Agency" 991
"424" "AP" "after_1_30" "Hospice" 138
"425" "DF" "after_1_30" "Inpatient" 2441
"426" "DP" "after_1_30" "Outpatient" 971
"427" "PO" "after_1_30" "Skilled Nursing Facility" 2837
"428" "PO" "during" "Carrier" 1341
"429" "ME" "during" "Durable Medical Equipment" 13
"430" "FA" "during" "Home Health Agency" 0
"431" "LA" "during" "Hospice" 0
"432" "DP" "during" "Inpatient" 10120
"433" "YA" "during" "Outpatient" 0
"434" "AP" "during" "Skilled Nursing Facility" 0
"435" "DP" "prior_1_3" "Carrier" 572
"436" "AR" "prior_1_3" "Durable Medical Equipment" 6
"437" "TA" "prior_1_3" "Home Health Agency" 13
"438" "SU" "prior_1_3" "Hospice" 1
"439" "GU" "prior_1_3" "Inpatient" 15
"440" "LA" "prior_1_3" "Outpatient" 305
"441" "AN" "prior_1_3" "Skilled Nursing Facility" 2
"442" "NE" "after_1_30" "Carrier" 1180
"443" "YA" "after_1_30" "Durable Medical Equipment" 89
"444" "NE" "after_1_30" "Home Health Agency" 803
"445" "TR" "after_1_30" "Hospice" 134
"446" "PO" "after_1_30" "Inpatient" 2683
"447" "DF" "after_1_30" "Outpatient" 874
"448" "CO" "after_1_30" "Skilled Nursing Facility" 3017
"449" "MO" "during" "Carrier" 1569
"450" "TR" "during" "Durable Medical Equipment" 19
"451" "YA" "during" "Home Health Agency" 0
"452" "YA" "during" "Hospice" 0
"453" "AN" "during" "Inpatient" 9980
"454" "TR" "during" "Outpatient" 0
"455" "SU" "during" "Skilled Nursing Facility" 0
"456" "MI" "prior_1_3" "Carrier" 548
"457" "LA" "prior_1_3" "Durable Medical Equipment" 8
"458" "SU" "prior_1_3" "Home Health Agency" 11
"459" "GU" "prior_1_3" "Hospice" 0
"460" "GU" "prior_1_3" "Inpatient" 5
"461" "CO" "prior_1_3" "Outpatient" 144
"462" "CO" "prior_1_3" "Skilled Nursing Facility" 2
"463" "CO" "after_1_30" "Carrier" 915
"464" "DA" "after_1_30" "Durable Medical Equipment" 79
"465" "AP" "after_1_30" "Home Health Agency" 476
"466" "CA" "after_1_30" "Hospice" 145
"467" "DP" "after_1_30" "Inpatient" 2162
"468" "CO" "after_1_30" "Outpatient" 1051
"469" "FA" "after_1_30" "Skilled Nursing Facility" 2837
"470" "DA" "during" "Carrier" 1514
"471" "LA" "during" "Durable Medical Equipment" 14
"472" "YA" "during" "Home Health Agency" 0
"473" "ME" "during" "Hospice" 0
"474" "MI" "during" "Inpatient" 10956
"475" "AN" "during" "Outpatient" 0
"476" "SU" "during" "Skilled Nursing Facility" 0
"477" "FA" "prior_1_3" "Carrier" 506
"478" "AR" "prior_1_3" "Durable Medical Equipment" 7
"479" "DA" "prior_1_3" "Home Health Agency" 7
"480" "AN" "prior_1_3" "Hospice" 0
"481" "DA" "prior_1_3" "Inpatient" 6
"482" "MI" "prior_1_3" "Outpatient" 360
"483" "BA" "prior_1_3" "Skilled Nursing Facility" 2
"484" "PO" "after_1_30" "Carrier" 977
"485" "MO" "after_1_30" "Durable Medical Equipment" 92
"486" "BO" "after_1_30" "Home Health Agency" 686
"487" "ZU" "after_1_30" "Hospice" 149
"488" "DA" "after_1_30" "Inpatient" 2953
"489" "SU" "after_1_30" "Outpatient" 1018
"490" "BA" "after_1_30" "Skilled Nursing Facility" 2852
"491" "DP" "during" "Carrier" 1449
"492" "NE" "during" "Durable Medical Equipment" 23
"493" "SU" "during" "Home Health Agency" 0
"494" "TA" "during" "Hospice" 0
"495" "ZU" "during" "Inpatient" 10289
"496" "LA" "during" "Outpatient" 0
"497" "FA" "during" "Skilled Nursing Facility" 0
"498" "TA" "prior_1_3" "Carrier" 573
"499" "ME" "prior_1_3" "Durable Medical Equipment" 8
"500" "DP" "prior_1_3" "Home Health Agency" 8
"501" "TR" "prior_1_3" "Hospice" 0
"502" "SU" "prior_1_3" "Inpatient" 8
"503" "DF" "prior_1_3" "Outpatient" 233
"504" "AR" "prior_1_3" "Skilled Nursing Facility" 2
"505" "AM" "after_1_30" "Carrier" 971
"506" "NU" "after_1_30" "Durable Medical Equipment" 102
"507" "BA" "after_1_30" "Home Health Agency" 898
"508" "AP" "after_1_30" "Hospice" 193
"509" "GU" "after_1_30" "Inpatient" 2831
"510" "DF" "after_1_30" "Outpatient" 1026
"511" "MI" "after_1_30" "Skilled Nursing Facility" 3341
"512" "AP" "during" "Carrier" 1305
"513" "ME" "during" "Durable Medical Equipment" 20
"514" "NE" "during" "Home Health Agency" 0
"515" "PO" "during" "Hospice" 0
"516" "AR" "during" "Inpatient" 9439
"517" "ZU" "during" "Outpatient" 0
"518" "LA" "during" "Skilled Nursing Facility" 0
"519" "TR" "prior_1_3" "Carrier" 543
"520" "ME" "prior_1_3" "Durable Medical Equipment" 8
"521" "AP" "prior_1_3" "Home Health Agency" 17
"522" "SU" "prior_1_3" "Hospice" 1
"523" "DF" "prior_1_3" "Inpatient" 4
"524" "AM" "prior_1_3" "Outpatient" 221
"525" "CA" "prior_1_3" "Skilled Nursing Facility" 3
"526" "YA" "after_1_30" "Carrier" 656
"527" "SU" "after_1_30" "Durable Medical Equipment" 59
"528" "CA" "after_1_30" "Home Health Agency" 356
"529" "VA" "after_1_30" "Hospice" 150
"530" "MI" "after_1_30" "Inpatient" 1880
"531" "FA" "after_1_30" "Outpatient" 1114
"532" "DA" "after_1_30" "Skilled Nursing Facility" 2674
"533" "BA" "during" "Carrier" 1497
"534" "LA" "during" "Durable Medical Equipment" 14
"535" "DP" "during" "Home Health Agency" 0
"536" "YA" "during" "Hospice" 0
"537" "PO" "during" "Inpatient" 11167
"538" "AP" "during" "Outpatient" 0
"539" "DF" "during" "Skilled Nursing Facility" 0
"540" "DP" "prior_1_3" "Carrier" 535
"541" "MI" "prior_1_3" "Durable Medical Equipment" 8
"542" "AM" "prior_1_3" "Home Health Agency" 7
"543" "TR" "prior_1_3" "Hospice" 0
"544" "CA" "prior_1_3" "Inpatient" 7
"545" "ME" "prior_1_3" "Outpatient" 417
"546" "TA" "prior_1_3" "Skilled Nursing Facility" 1
"547" "BO" "after_1_30" "Carrier" 1000
"548" "MO" "after_1_30" "Durable Medical Equipment" 94
"549" "FA" "after_1_30" "Home Health Agency" 810
"550" "ZU" "after_1_30" "Hospice" 159
"551" "MI" "after_1_30" "Inpatient" 2294
"552" "ZU" "after_1_30" "Outpatient" 898
"553" "MO" "after_1_30" "Skilled Nursing Facility" 2937
"554" "GU" "during" "Carrier" 1438
"555" "AN" "during" "Durable Medical Equipment" 23
"556" "MI" "during" "Home Health Agency" 0
"557" "LA" "during" "Hospice" 0
"558" "SU" "during" "Inpatient" 10149
"559" "DP" "during" "Outpatient" 0
"560" "MI" "during" "Skilled Nursing Facility" 0
"561" "BO" "prior_1_3" "Carrier" 564
"562" "VA" "prior_1_3" "Durable Medical Equipment" 8
